Module Name,Total Time (seconds)
pysnooper.pycompat,601.14
pysnooper.utils,603.97
pysnooper.variables,601.42
ansible.cli.arguments.option_helpers,603.18
ansible.cli.doc,606.03
ansible.collections.list,603.81
ansible.config.data,603.53
ansible.config.manager,609.12
ansible.context,602.58
ansible.executor.discovery.python_target,602.72
ansible.executor.play_iterator,999.00
ansible.executor.powershell.module_manifest,603.39
ansible.executor.stats,64.81
ansible.executor.task_result,605.00
ansible.inventory.helpers,602.66
ansible.inventory.host,602.91
ansible.module_utils.api,999.00
ansible.module_utils.common._utils,602.56
ansible.module_utils.common.arg_spec,602.83
ansible.module_utils.common.collections,602.83
ansible.module_utils.common.dict_transformations,281.26
ansible.module_utils.common.json,603.05
ansible.module_utils.common.locale,602.49
ansible.module_utils.common.network,602.76
ansible.module_utils.common.parameters,603.95
ansible.module_utils.common.process,602.61
ansible.module_utils.common.sys_info,602.79
ansible.module_utils.common.text.converters,602.70
ansible.module_utils.common.validation,602.90
ansible.module_utils.compat.version,603.15
ansible.module_utils.facts.collector,602.82
ansible.module_utils.facts.compat,602.55
ansible.module_utils.facts.hardware.aix,603.32
ansible.module_utils.facts.hardware.darwin,605.20
ansible.module_utils.facts.hardware.freebsd,603.20
ansible.module_utils.facts.hardware.hpux,602.85
ansible.module_utils.facts.hardware.hurd,602.92
ansible.module_utils.facts.hardware.netbsd,602.56
ansible.module_utils.facts.hardware.openbsd,603.28
ansible.module_utils.facts.hardware.sunos,603.45
ansible.module_utils.facts.network.aix,604.00
ansible.module_utils.facts.network.darwin,403.82
ansible.module_utils.facts.network.fc_wwn,602.63
ansible.module_utils.facts.network.generic_bsd,602.88
ansible.module_utils.facts.network.hpux,602.87
ansible.module_utils.facts.network.hurd,602.95
ansible.module_utils.facts.network.linux,605.62
ansible.module_utils.facts.network.sunos,602.48
ansible.module_utils.facts.other.facter,602.69
ansible.module_utils.facts.other.ohai,602.67
ansible.module_utils.facts.packages,602.52
ansible.module_utils.facts.sysctl,602.56
ansible.module_utils.facts.system.apparmor,602.46
ansible.module_utils.facts.system.caps,602.72
ansible.module_utils.facts.system.chroot,602.77
ansible.module_utils.facts.system.cmdline,602.78
ansible.module_utils.facts.system.date_time,602.99
ansible.module_utils.facts.system.distribution,603.64
ansible.module_utils.facts.system.dns,602.53
ansible.module_utils.facts.system.fips,602.86
ansible.module_utils.facts.system.local,603.00
ansible.module_utils.facts.system.lsb,602.89
ansible.module_utils.facts.system.platform,604.09
ansible.module_utils.facts.system.python,602.59
ansible.module_utils.facts.system.selinux,602.71
ansible.module_utils.facts.system.service_mgr,603.42
ansible.module_utils.facts.system.ssh_pub_keys,602.95
ansible.module_utils.facts.system.user,602.95
ansible.module_utils.facts.virtual.freebsd,603.07
ansible.module_utils.facts.virtual.hpux,602.73
ansible.module_utils.facts.virtual.linux,610.78
ansible.module_utils.facts.virtual.netbsd,602.91
ansible.module_utils.facts.virtual.openbsd,602.65
ansible.module_utils.facts.virtual.sunos,603.30
ansible.module_utils.facts.virtual.sysctl,602.54
ansible.module_utils.pycompat24,604.35
ansible.module_utils.splitter,603.42
ansible.module_utils.yumdnf,603.04
ansible.modules.apt_repository,604.55
ansible.modules.command,602.89
ansible.modules.cron,603.74
ansible.modules.debconf,999.00
ansible.modules.dnf,608.54
ansible.modules.dpkg_selections,999.00
ansible.modules.expect,602.40
ansible.modules.getent,603.31
ansible.modules.lineinfile,603.85
ansible.modules.ping,999.00
ansible.modules.pip,603.49
ansible.modules.replace,603.00
ansible.modules.rpm_key,603.02
ansible.modules.subversion,602.89
ansible.modules.systemd,602.89
ansible.modules.sysvinit,604.04
ansible.modules.yum_repository,603.31
ansible.parsing.ajson,602.75
ansible.parsing.mod_args,603.98
ansible.parsing.quoting,5.22
ansible.parsing.utils.addresses,31.89
ansible.parsing.utils.jsonify,602.66
ansible.parsing.utils.yaml,602.81
ansible.parsing.yaml.dumper,189.27
ansible.parsing.yaml.loader,602.74
ansible.parsing.yaml.objects,603.16
ansible.playbook.attribute,102.48
ansible.playbook.base,603.61
ansible.playbook.block,604.53
ansible.playbook.collectionsearch,603.12
ansible.playbook.handler_task_include,602.82
ansible.playbook.play,603.19
ansible.playbook.play_context,603.73
ansible.playbook.role.definition,999.00
ansible.playbook.role.include,21.86
ansible.playbook.role.metadata,602.86
